Country name (English),Subregion,Region
Afghanistan,South Asia,Asia
Aland Islands,North Europe,Europe
Albania,South Europe,Europe
Algeria,North Africa,Africa
American Samoa,Polynesia,Oceania
Andorra,South Europe,Europe
Angola,Central Africa,Africa
Anguilla,Caribbean,Latin America and the Caribbean
Antigua and Barbuda,Caribbean,Latin America and the Caribbean
Argentina,South America,Latin America and the Caribbean
Armenia,East Europe,Europe
Aruba,Caribbean,Latin America and the Caribbean
Australia,Australia and New Zealand,Oceania
Austria,West Europe,Europe
Azerbaijan,East Europe,Europe
Bahamas,Caribbean,Latin America and the Caribbean
Bahrain,West Asia,Asia
Bangladesh,South Asia,Asia
Barbados,Caribbean,Latin America and the Caribbean
Belarus,East Europe,Europe
Belgium,West Europe,Europe
Belize,Central America,Latin America and the Caribbean
Benin,West Africa,Africa
Bermuda,Caribbean,Latin America and the Caribbean
Bhutan,South Asia,Asia
Bolivia,South America,Latin America and the Caribbean
Bosnia and Herzegovina,South Europe,Europe
Botswana,South Africa,Africa
Brazil,South America,Latin America and the Caribbean
British Virgin Islands,Caribbean,Latin America and the Caribbean
Brunei,Southeast Asia,Asia
Bulgaria,East Europe,Europe
Burkina Faso,West Africa,Africa
Burundi,East Africa,Africa
Cambodia,Southeast Asia,Asia
Cameroon,Central Africa,Africa
Canada,North America,North America
Cape Verde,West Africa,Africa
Caribbean Netherlands,Caribbean,Latin America and the Caribbean
Cayman Islands,Caribbean,Latin America and the Caribbean
Central African Republic,Central Africa,Africa
Chad,Central Africa,Africa
Channel Islands,North Europe,Europe
Chile,South America,Latin America and the Caribbean
China,East Asia,Asia
Christmas Island,Australia and New Zealand,Oceania
Cocos (Keeling) Islands,Australia and New Zealand,Oceania
Colombia,South America,Latin America and the Caribbean
Comoros,East Africa,Africa
Cook Islands,Polynesia,Oceania
Costa Rica,Central America,Latin America and the Caribbean
Côte d'Ivoire,West Africa,Africa
Croatia,South Europe,Europe
Cuba,Caribbean,Latin America and the Caribbean
Curaçao,Caribbean,Latin America and the Caribbean
Cyprus,East Europe,Europe
Czechia,East Europe,Europe
Democratic Republic of the Congo,Central Africa,Africa
Denmark,North Europe,Europe
Djibouti,East Africa,Africa
Dominica,Caribbean,Latin America and the Caribbean
Dominican Republic,Caribbean,Latin America and the Caribbean
Ecuador,South America,Latin America and the Caribbean
Egypt,North Africa,Africa
El Salvador,Central America,Latin America and the Caribbean
Equatorial Guinea,Central Africa,Africa
Eritrea,East Africa,Africa
Estonia,North Europe,Europe
Eswatini,South Africa,Africa
Ethiopia,East Africa,Africa
Falkland Islands (Malvinas),South America,Latin America and the Caribbean
Faroe Islands,North Europe,Europe
Federated States of Micronesia,Micronesia,Oceania
Fiji,Melanesia,Oceania
Finland,North Europe,Europe
France,West Europe,Europe
French Guiana,South America,Latin America and the Caribbean
French Polynesia,Polynesia,Oceania
Gabon,Central Africa,Africa
Gambia,West Africa,Africa
Georgia,East Europe,Europe
Germany,West Europe,Europe
Ghana,West Africa,Africa
Gibraltar,South Europe,Europe
Greece,South Europe,Europe
Greenland,North Europe,Europe
Grenada,Caribbean,Latin America and the Caribbean
Guadeloupe,Caribbean,Latin America and the Caribbean
Guam,Micronesia,Oceania
Guatemala,Central America,Latin America and the Caribbean
Guinea,West Africa,Africa
Guinea-Bissau,West Africa,Africa
Guyana,South America,Latin America and the Caribbean
Haiti,Caribbean,Latin America and the Caribbean
Honduras,Central America,Latin America and the Caribbean
Hong Kong,East Asia,Asia
Hungary,East Europe,Europe
Iceland,North Europe,Europe
India,South Asia,Asia
Indonesia,Southeast Asia,Asia
Iran,South Asia,Asia
Iraq,West Asia,Asia
Ireland,North Europe,Europe
Isle of Man,North Europe,Europe
Israel,West Asia,Asia
Italy,South Europe,Europe
Jamaica,Caribbean,Latin America and the Caribbean
Japan,East Asia,Asia
Jordan,West Asia,Asia
Kazakhstan,Central Asia,Asia
Kenya,East Africa,Africa
Kiribati,Micronesia,Oceania
Kosovo,South Europe,Europe
Kuwait,West Asia,Asia
Kyrgyzstan,Central Asia,Asia
Laos,Southeast Asia,Asia
Latvia,North Europe,Europe
Lebanon,West Asia,Asia
Lesotho,South Africa,Africa
Liberia,West Africa,Africa
Libya,North Africa,Africa
Liechtenstein,West Europe,Europe
Lithuania,North Europe,Europe
Luxembourg,West Europe,Europe
Macao,East Asia,Asia
Madagascar,East Africa,Africa
Malawi,East Africa,Africa
Malaysia,Southeast Asia,Asia
Maldives,South Asia,Asia
Mali,West Africa,Africa
Malta,South Europe,Europe
Marshall Islands,Micronesia,Oceania
Martinique,Caribbean,Latin America and the Caribbean
